City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,minas de marcona,-15.2119,-75.1103,295.61,63,30,7.34,PE,1706819935
1,loukhi,66.0764,33.0381,269.1,80,73,7.18,RU,1706820052
2,petropavlovsk-kamchatsky,53.0452,158.6483,258.48,86,75,3.0,RU,1706820025
3,howard springs,-12.497,131.047,301.1,95,100,4.06,AU,1706820053
4,port elizabeth,-33.918,25.5701,295.55,95,75,7.2,ZA,1706820054
5,ursulo galvan,22.7333,-98.3,298.99,56,74,3.85,MX,1706820054
6,karatau,43.1667,70.4667,268.73,76,28,10.64,KZ,1706820055
7,port-aux-francais,-49.35,70.2167,279.98,85,58,4.17,TF,1706820055
8,tofol,5.3248,163.0078,300.92,81,100,5.97,FM,1706820056
9,waitangi,-43.9535,-176.5597,290.27,96,98,0.89,NZ,1706820380
10,thompson,55.7435,-97.8558,264.24,73,75,1.03,CA,1706820228
11,aitape,-3.1374,142.3475,298.85,89,100,2.5,PG,1706820381
12,puerto natales,-51.7236,-72.4875,289.4,36,75,13.38,CL,1706820382
13,grytviken,-54.2811,-36.5092,278.05,59,39,5.52,GS,1706820382
14,gereida,11.2811,25.1414,293.09,17,2,6.67,SD,1706820383
15,dudinka,69.4058,86.1778,257.94,91,100,11.05,RU,1706820383
16,bayanhongor,46.7167,100.1167,247.9,83,23,1.63,MN,1706820384
17,cockburn town,21.4612,-71.1419,296.66,65,10,10.19,TC,1706820384
18,glace bay,46.1969,-59.957,273.13,81,75,2.06,CA,1706820384
19,ilha de mocambique,-15.0342,40.7358,299.81,78,99,0.34,MZ,1706820385
20,punta arenas,-53.15,-70.9167,288.21,44,20,19.03,CL,1706820385
21,kingston,17.997,-76.7936,302.68,67,20,4.12,JM,1706820236
22,iqaluit,63.7506,-68.5145,242.0,62,100,3.6,CA,1706820386
23,mejit,10.2753,170.8646,299.67,87,46,10.41,MH,1706820387
24,laayoune,27.1622,-13.2032,295.34,15,3,3.09,EH,1706820387
25,wewak,-3.5534,143.6268,299.14,86,100,3.45,PG,1706820388
26,ust-nera,64.5667,143.2,241.86,100,100,1.69,RU,1706820388
